Second,microtesla
87.0,29.97633
87.1,29.97633
87.2,29.97633
87.3,29.719776
87.4,29.719776
87.5,29.719776
87.6,29.864468
87.7,29.864468
87.8,29.864468
87.9,29.832197
88.0,29.832197
88.1,29.832197
88.2,29.925646
88.3,29.925646
88.4,29.925646
88.5,30.184124
88.6,30.184124
88.7,30.184124
88.8,30.261225
88.9,30.261225
89.0,30.261225
89.1,30.752996
89.2,30.752996
89.3,30.752996
89.4,30.542713
89.5,30.542713
89.6,30.542713
89.7,30.332754
89.8,30.332754
89.9,30.332754
90.0,30.277672
90.1,30.277672
90.2,30.277672
90.3,29.66544
90.4,29.66544
90.5,29.66544
90.6,29.480953
90.7,29.480953
90.8,29.480953
90.9,30.03396
91.0,30.03396
91.1,30.03396
91.2,29.965261
91.3,29.965261
91.4,29.965261
91.5,30.016443
91.6,30.016443
91.7,30.016443
91.8,30.250624
91.9,30.250624
92.0,30.250624
92.1,30.724566
92.2,30.724566
92.3,30.724566
92.4,30.824156
92.5,30.824156
92.6,30.824156
92.7,30.862162
92.8,30.862162
92.9,30.862162
93.0,30.778534
93.1,30.778534
93.2,30.778534
93.3,30.55139
93.4,30.55139
93.5,30.55139
93.6,29.664417
93.7,29.664417
93.8,29.664417
93.9,29.412613
94.0,29.412613
94.1,29.412613
94.2,29.480734
94.3,29.480734
94.4,29.480734
94.5,29.9406
94.6,29.9406
94.7,29.9406
94.8,29.668612
94.9,29.668612
95.0,29.762712
95.1,29.922724
95.2,29.922724
95.3,29.922724
95.4,30.183426
95.5,30.183426
95.6,30.094725
95.7,30.009869
95.8,30.009869
95.9,30.009869
96.0,30.503204
96.1,30.503204
96.2,30.503204
96.3,30.605333
96.4,30.605333
96.5,30.616125
96.6,30.791906
96.7,30.791906
96.8,30.791906
96.9,30.782375
97.0,30.782375
97.1,30.782375
97.2,30.7296
97.3,30.7296
97.4,30.7296
97.5,31.100456
97.6,31.100456
97.7,31.100456
97.8,31.241009
97.9,31.241009
98.0,31.221815
98.1,27.642952
98.2,27.642952
98.3,27.642952
98.4,23.453388
98.5,23.453388
98.6,23.453388
98.7,22.818953
98.8,22.818953
98.9,22.818953
99.0,22.318716
99.1,22.318716
99.2,22.318716
99.3,22.022236
99.4,22.022236
99.5,21.928331
99.6,22.310045
99.7,22.310045
99.8,22.455387
99.9,22.963219
100.0,22.963219
100.1,23.1406
100.2,23.29181
100.3,23.29181
100.4,23.294159
100.5,23.558096
100.6,23.558096
100.7,23.558096
100.8,23.01368
100.9,23.01368
101.0,22.865585
101.1,22.712877
101.2,22.712877
101.3,22.712877
101.4,22.621511
101.5,22.621511
101.6,22.676039
101.7,22.70447
101.8,22.70447
101.9,22.705507
102.0,22.63607
102.1,22.63607
102.2,22.63607
102.3,22.887482
102.4,22.887482
102.5,22.917763
102.6,22.503834
102.7,22.503834
102.8,22.07817
102.9,21.791119
103.0,21.791119
103.1,21.791119
103.2,22.343588
103.3,22.343588
103.4,22.646961
103.5,22.473726
103.6,22.473726
103.7,22.655018
103.8,22.614473
103.9,22.614473
104.0,22.787502
104.1,22.943285
104.2,22.943285
104.3,22.844635
104.4,22.666677
104.5,22.666677
104.6,22.494287
104.7,22.791939
104.8,22.791939
104.9,22.943905
105.0,23.226202
105.1,23.226202
105.2,23.315449
105.3,23.291597
105.4,23.291597
105.5,22.941902
105.6,22.735859
105.7,22.735859
105.8,22.748924
105.9,22.523046
106.0,22.523046
106.1,22.506853
106.2,22.562614
106.3,22.562614
106.4,22.765268
106.5,22.832361
106.6,22.835775
106.7,22.826065
106.8,22.91232
106.9,22.91232
107.0,23.061897
107.1,23.070816
107.2,23.070816
107.3,23.16094
107.4,23.190578
107.5,23.190578
107.6,23.473362
107.7,23.259384
107.8,23.259384
107.9,22.856115
108.0,22.378813
108.1,22.378813
108.2,22.153173
108.3,22.313948
108.4,22.313948
108.5,22.634659
108.6,22.634659
108.7,22.634659
108.8,23.277462
108.9,23.481415
109.0,23.481415
109.1,23.270872
109.2,23.270872
109.3,23.270872
109.4,22.962769
109.5,22.98569
109.6,22.98569
109.7,23.328657
109.8,23.480675
109.9,23.480675
110.0,23.4109
110.1,23.46222
110.2,23.46222
110.3,23.718315
110.4,24.025963
110.5,24.025963
110.6,23.724909
110.7,23.724909
110.8,23.724909
110.9,23.52722
111.0,23.502314
111.1,23.502314
111.2,22.998014
111.3,22.614634
111.4,22.614634
111.5,22.667627
111.6,22.667627
111.7,22.667627
111.8,23.21728
111.9,23.327507
112.0,23.327507
112.1,22.898584
112.2,22.898584
112.3,22.898584
112.4,22.429346
112.5,22.373686
112.6,22.373686
112.7,22.662603
112.8,22.662603
112.9,22.844158
113.0,23.097507
113.1,23.173939
113.2,23.173939
113.3,22.959404
113.4,22.8525
113.5,22.8525
113.6,22.594812
113.7,22.594812
113.8,22.713163
113.9,22.49927
114.0,22.57885
114.1,22.57885
114.2,22.506388
114.3,22.506388
114.4,22.910965
114.5,22.997168
114.6,23.070724
114.7,23.113586
114.8,23.045391
114.9,22.984093
115.0,22.984093
115.1,22.897663
115.2,22.897663
115.3,22.860916
115.4,22.811028
115.5,22.815767
115.6,22.815767
115.7,22.814182
115.8,22.814182
115.9,22.761227
116.0,22.656408
116.1,22.436209
116.2,22.436209
116.3,22.550009
116.4,22.467346
116.5,22.467346
116.6,22.46247
116.7,22.46247
116.8,22.497442
116.9,22.41246
117.0,22.256248
117.1,22.256248
117.2,21.829912
117.3,21.829912
117.4,22.067703
117.5,22.455124
117.6,22.455124
117.7,22.455124
117.8,22.418793
117.9,22.418793
118.0,22.418793
118.1,22.436453
118.2,22.436453
118.3,22.455742
118.4,22.866755
118.5,22.866755
118.6,22.866755
118.7,23.118322
118.8,23.118322
118.9,22.804232
119.0,22.19714
119.1,22.19714
119.2,21.943687
119.3,22.040318
119.4,22.040318
119.5,22.040318
119.6,21.972643
119.7,21.972643
119.8,22.02458
